analysis,analyte,description,units,true_unit,instrument
CaD_FLAME_AA,Ca,Dissolved Calcium (FLAME AA),milligramPerLiter,mg Ca/L,Varian FLAA
CaD_ICP,Ca,Dissolved Calcium (ICP),milligramPerLiter,mg Ca/L,ICP-OES
ClD_LACHAT,Cl,Dissolved Chloride (LACHAT),milligramPerLiter,mg Cl/L,Lachat QC 8000
DOC_TOC,DOC,Dissolved organic carbon in mg/l,milligramPerLiter,mg C/L,Shimadzu TOC-V
KD_ICP,K,Dissolved Potassium (ICP),milligramPerLiter,mg K/L,ICP-OES
MgD_ICP,Mg,Dissolved Magnesium (ICP),milligramPerLiter,mg Mg/L,ICP-OES
NaD_ICP,Na,Dissolved Sodium (ICP),milligramPerLiter,mg Na/L,ICP-OES
NH4_LACHAT,NH4,"Ammonium (LACHAT), reported as mgN/l",milligramPerLiter,mg N/L,Lachat QC 8000
NiD_ICP,Ni,dissolved nickel (ICP-OES),milligramPerLiter,mg Ni/L,ICP-OES
NO2D_LACHAT,NO2,Dissolved Nitrite (LACHAT) reported as mg/L,milligramPerLiter,mg N/L,Lachat QC 8000
NO3D_IC,NO3,"Dissolved nitrate (IC), reported as mgN/l",milligramPerLiter,mg N/L,Dionex IC
NO3D_LACHAT,NO3,"Dissolved Nitrate (LACHAT), reported as mgN/l",milligramPerLiter,mg N/L,Lachat QC 8000
NO3T_AQ2,TDN,total nitrogen (AQ2),milligramPerLiter,mg N/L,SEAL AQ2 Discrete Analyzer
NO3T_TOC_TN,TDN,"Total Nitrogen by combustion analysis TOC/TN, final value is mgN/L",milligramPerLiter,mg N/L,Shimadzu
NO3T_TRAACS,TDN,"Total dissolved Nitrogen (TRAACS), NH4, NO3 and DON are oxidized to NO3 and measured all together, final value is mg N/l",milligramPerLiter,mg N/L,Bran-Lubbe Traacs 800
PbD_ICP,Pb,dissolved lead (ICP-OES),milligramPerLiter,mg Pb/L,ICP-OES
PO4D_LACHAT,SRP,"Dissolved phosphorus (LACHAT), reported as ugP/l",microgramPerLiter,ug P/L,Lachat QC 8000
PO4T_AQ2,TP,total phosphorus (AQ2),milligramPerLiter,mg P/L,SEAL AQ2 Discrete Analyzer
PO4T_LACHAT,TP,Total phosphorus (LACHAT),milligramPerLiter,mg P/L,Lachat QC 8000
PO4T_TRAACS,TP,Total phosphorus (TRAACS),milligramPerLiter,mg P/L,Bran-Lubbe Traacs 800
SO4D_IC,SO4,"Dissolved sulfate (IC), reported as conc. SO4/l",milligramPerLiter,mg SO4/L,Dionex IC
ZnD_ICP,Zn,dissolved zinc (ICP-OES,milligramPerLiter,mg Zn/L,ICP-OES